# Temporary trajectory realization generation debug export
# RealizationNumberOneBased	21
# RealizationIndexZeroBased	20
# NormalizedGaussian	0.73350057313089556	-0.2638099304028626	-2.1635738261931472
Stage	StationIndex	CandidateIndex	Selected	SmoothnessScore	ReferenceMD	ReferenceIncl	ReferenceAz	ReferenceX	ReferenceY	ReferenceZ	MD	Abscissa	Incl	Az	X	Y	Z	TVD	North	East	DLS	BUR	TUR	VSect
raw-covariance-spherical	1	0	True		-91.200000000000003	0	0	6535283.1181627838	328657.61939551943	-91.200000000000003	-91.200000000000003	-91.200000000000003	0	0	6535283.1181627838	328657.61939551943	-91.200000000000003	-91.200000000000003	6535283.1181627838	328657.61939551943				0
incremental-md-incl-az	1	0	True		-91.200000000000003	0	0	6535283.1181627838	328657.61939551943	-91.200000000000003	-91.200000000000003	-91.200000000000003	0	0	6535283.1181627838	328657.61939551943	-91.200000000000003	-91.200000000000003	6535283.1181627838	328657.61939551943				0
raw-covariance-spherical-candidate	2	0	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.2881342862	328657.47723858157	-49.545856466863974	-49.545856466863974	6535283.2881342862	328657.47723858157				
incremental-md-incl-az-candidate	2	0	False	1.5491828811109443E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.545070652623764	-49.545070652623764	0.010639068383453208	5.5866649240725001	6535283.2881342862	328657.47723858157	-49.545856466863974	-49.545856466863974	6535283.2881342862	328657.47723858157	0.00025540958897637267	0.00025540958897637267	0	0.22158273083558253
raw-covariance-spherical-candidate	2	1	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.4776810315	328657.36912302644	-49.547549483229254	-49.547549483229254	6535283.4776810315	328657.36912302644				
incremental-md-incl-az-candidate	2	1	False	1.5507440587314569E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.544478268223216	-49.544478268223216	0.02103290448814522	5.6750594157436867	6535283.4776810315	328657.36912302644	-49.547549483229254	-49.547549483229254	6535283.4776810315	328657.36912302644	0.00050492476420239702	0.00050492476420239702	0	0.43805215573916206
raw-covariance-spherical-candidate	2	2	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.3270457685	328657.54545767343	-49.545856466864301	-49.545856466864301	6535283.3270457685	328657.54545767343				
incremental-md-incl-az-candidate	2	2	False	1.5491828547320452E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-49.545070652627835	-49.545070652627835	0.010639068358073982	5.9429801015602433	6535283.3270457685	328657.54545767343	-49.545856466864301	-49.545856466864301	6535283.3270457685	328657.54545767343	0.00025540958836712456	0.00025540958836712456	0	0.22158273030692477
raw-covariance-spherical-candidate	2	3	False		-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691					6535283.2925145291	328657.47474013554	-48.895903190781802	-48.895903190781802	6535283.2925145291	328657.47474013554				
incremental-md-incl-az-candidate	2	3	False	1.5034602892427529E-05	-49.219999999999999	0.015707963267948967	-0.51836278784231582	6535283.4045535214	328657.45604112692	-49.221726337005691	-48.895094389417835	-48.895094389417835	0.010710319906333044	5.5906095960479565	6535283.2925145291	328657.47474013554	-48.895903190781802	-48.895903190781802	6535283.2925145291	328657.47474013554	0.00025316969159373234	0.00025316969159373234	0	0.22654737070304881
